cve,modAV
CVE-2018-0001,NETWORK
CVE-2018-0002,NETWORK
CVE-2018-0003,ADJACENT_NETWORK
CVE-2018-0004,NETWORK
CVE-2018-0005,ADJACENT_NETWORK
CVE-2018-0006,ADJACENT_NETWORK
CVE-2018-0007,NETWORK
CVE-2018-0008,LOCAL
CVE-2018-0009,NETWORK
CVE-2018-0010,NETWORK
CVE-2018-0011,NETWORK
CVE-2018-0012,LOCAL
CVE-2018-0013,NETWORK
CVE-2018-0014,ADJACENT_NETWORK
CVE-2018-0086,NETWORK
CVE-2018-0088,LOCAL
CVE-2018-0089,NETWORK
CVE-2018-0090,NETWORK
CVE-2018-0091,NETWORK
CVE-2018-0092,LOCAL
CVE-2018-0093,NETWORK
CVE-2018-0094,NETWORK
CVE-2018-0095,LOCAL
CVE-2018-0096,NETWORK
CVE-2018-0097,NETWORK
CVE-2018-0098,NETWORK
CVE-2018-0099,NETWORK
CVE-2018-0100,LOCAL
CVE-2018-0101,NETWORK
CVE-2018-0102,ADJACENT_NETWORK
CVE-2018-0103,LOCAL
CVE-2018-0104,NETWORK
CVE-2018-0105,NETWORK
CVE-2018-0106,LOCAL
CVE-2018-0107,NETWORK
CVE-2018-0108,NETWORK
CVE-2018-0109,NETWORK
CVE-2018-0110,NETWORK
CVE-2018-0111,NETWORK
CVE-2018-0114,NETWORK
CVE-2018-0115,LOCAL
CVE-2018-0118,NETWORK
CVE-2018-0120,NETWORK
CVE-2018-0128,NETWORK
CVE-2018-0129,NETWORK
CVE-2018-0134,NETWORK
CVE-2018-0136,NETWORK
CVE-2018-0486,NETWORK
CVE-2018-0506,NETWORK
CVE-2018-0507,NETWORK
CVE-2018-0508,NETWORK
CVE-2018-0509,NETWORK
CVE-2018-0510,NETWORK
CVE-2018-0511,NETWORK
CVE-2018-0512,ADJACENT_NETWORK
CVE-2018-0741,NETWORK
CVE-2018-0743,LOCAL
CVE-2018-0744,LOCAL
CVE-2018-0745,LOCAL
CVE-2018-0746,LOCAL
CVE-2018-0747,LOCAL
CVE-2018-0748,LOCAL
CVE-2018-0749,LOCAL
CVE-2018-0750,LOCAL
CVE-2018-0751,LOCAL
CVE-2018-0752,LOCAL
CVE-2018-0753,NETWORK
CVE-2018-0754,LOCAL
CVE-2018-0758,NETWORK
CVE-2018-0762,NETWORK
CVE-2018-0764,NETWORK
CVE-2018-0766,NETWORK
CVE-2018-0767,NETWORK
CVE-2018-0768,NETWORK
CVE-2018-0769,NETWORK
CVE-2018-0770,NETWORK
CVE-2018-0772,NETWORK
CVE-2018-0773,NETWORK
CVE-2018-0774,NETWORK
CVE-2018-0775,NETWORK
CVE-2018-0776,NETWORK
CVE-2018-0777,NETWORK
CVE-2018-0778,NETWORK
CVE-2018-0780,NETWORK
CVE-2018-0781,NETWORK
CVE-2018-0784,NETWORK
CVE-2018-0785,NETWORK
CVE-2018-0786,NETWORK
CVE-2018-0788,LOCAL
CVE-2018-0789,NETWORK
CVE-2018-0790,NETWORK
CVE-2018-0791,NETWORK
CVE-2018-0792,NETWORK
CVE-2018-0793,NETWORK
CVE-2018-0794,NETWORK
CVE-2018-0795,NETWORK
CVE-2018-0796,NETWORK
CVE-2018-0797,NETWORK
CVE-2018-0798,NETWORK
CVE-2018-0799,NETWORK
CVE-2018-0800,NETWORK
CVE-2018-0801,NETWORK
CVE-2018-0802,NETWORK
CVE-2018-0803,NETWORK
CVE-2018-0804,NETWORK
CVE-2018-0805,NETWORK
CVE-2018-0806,NETWORK
CVE-2018-0807,NETWORK
CVE-2018-0812,NETWORK
CVE-2018-0818,NETWORK
CVE-2018-0819,NETWORK
CVE-2018-0829,LOCAL
CVE-2018-0845,NETWORK
CVE-2018-0848,NETWORK
CVE-2018-0849,NETWORK
CVE-2018-0851,NETWORK
CVE-2018-0852,NETWORK
CVE-2018-0862,NETWORK
CVE-2018-1000001,LOCAL
CVE-2018-1000002,NETWORK
CVE-2018-1000003,NETWORK
CVE-2018-1000004,NETWORK
CVE-2018-1000005,NETWORK
CVE-2018-1000006,NETWORK
CVE-2018-1000007,NETWORK
CVE-2018-1000008,NETWORK
CVE-2018-1000009,NETWORK
CVE-2018-1000010,NETWORK
CVE-2018-1000011,NETWORK
CVE-2018-1000012,NETWORK
CVE-2018-1000013,NETWORK
CVE-2018-1000014,NETWORK
CVE-2018-1000015,NETWORK
CVE-2018-1000018,LOCAL
CVE-2018-1000019,NETWORK
CVE-2018-1000020,NETWORK
CVE-2018-1000021,NETWORK
CVE-2018-1000023,NETWORK
CVE-2018-1000024,NETWORK
CVE-2018-1000031,NETWORK
CVE-2018-1000032,NETWORK
